listener_id,freq_hz,false_alarm_rate,coeff_01,coeff_02,coeff_03,coeff_04,coeff_05,coeff_06,coeff_07,coeff_08,coeff_09,coeff_10,coeff_11,coeff_12,coeff_13,coeff_14,coeff_15,coeff_16,coeff_17,coeff_18,coeff_19,coeff_20,cu_05,cu_10,cu_15,cu_20,cu_25,cu_30,cu_35,cu_40,cu_45,cu_50
2,1500,0.030425173507893918,-1.1382379805578435,-1.099330992728309,-1.1184750496462554,-1.1281264249752425,-1.8336902077431565,-10.10286667391383,-1.1205001107944343,-1.118464648552063,-1.1199380353484596,-1.14413171307466,12.087689797232356,28.359157331464473,18.587594171673786,11.200719051057877,11.564314334744385,12.805496319295315,3.7499570764328887,4.627968802541124,6.679836754653646,3.342251274163532,12.087689797232356,40.44684712869683,59.03444130037062,70.23516035142849,81.79947468617287,94.60497100546819,98.35492808190108,102.9828968844422,109.66273363909585,113.00498491325938
2,2000,0.030425173507893918,-1.1132132045804384,-2.135929176993413,-1.1126441481040414,-1.1386835429297215,-1.3769905027293383,-1.1232882448770494,-1.1123221471701665,-1.1257621489373482,-1.1258942043300428,-1.1072578866278904,12.494689161273492,20.392558438832353,37.72565488158807,8.022255718437151,10.54724942230558,12.07457271886,1.3856458375329082,2.8701804429286524,3.946977469382418,2.907654977073303,12.494689161273492,32.887247600105844,70.61290248169391,78.63515820013106,89.18240762243664,101.25698034129664,102.64262617882954,105.5128066217582,109.45978409114062,112.36743906821393
2,3000,0.030425173507893918,-1.098205414185753,-1.4074986816817021,-1.1247210157707226,-1.118815534060789,-1.1230787285400479,-1.131935930143367,-1.1221988730405823,-7.1304835877258865,-1.1387575975588629,-1.1297853123436092,1.2106009822066528,25.774488546354902,21.599704836192895,17.62497595403438,16.3700512021082,10.374976996983873,5.047824013159194,5.167366611369932,3.9240283225916213,2.751459769397345,1.2106009822066528,26.985089528561556,48.58479436475445,66.20977031878883,82.57982152089703,92.9547985178809,98.0026225310401,103.16998914241003,107.09401746500166,109.845477234399
2,4000,0.030425173507893918,-1.4935681898803748,-1.1469543933864834,-1.1225583553321168,-2.0937471700478225,-4.24133299048599,-1.139781387414589,-1.13980409570941,-1.1294244982961938,-1.1430755203805245,-1.3414297297077549,8.321547937277668,25.71941641203616,24.35693881170856,16.928965055475174,14.509550999178046,11.437937159603386,2.5957929761359573,6.394683539317832,3.3254667368986564,1.4333824726103472,8.321547937277668,34.040964349313825,58.397903161022384,75.32686821649756,89.8364192156756,101.27435637527898,103.87014935141494,110.26483289073278,113.59029962763144,115.02368210024179
2,6000,0.030425173507893918,-5.772025667834306,-1.1349382214021957,-1.2622782910630996,-1.9574788866247657,-1.582174277433377,-1.8205705583403407,-1.1327415780947967,-1.1187549326431996,-2.4758272562836696,-1.541029857435959,10.671792484893135,23.023479376216244,21.965212415250335,24.13253766700059,12.162246675132948,7.293793688469005,3.878476744973514,1.3687426858001253,3.5589943859183197,3.9165690566559688,10.671792484893135,33.695271861109376,55.66048427635971,79.7930219433603,91.95526861849325,99.24906230696226,103.12753905193577,104.4962817377359,108.05527612365422,111.9718451803102
2,8000,0.030425173507893918,-1.127866199266703,-1.127892800199177,-20.50800035689312,-1.1327444363732104,-1.1423298082824027,-3.9930256163669107,-1.1177461753887867,-1.13255278287659,-1.1220749307767794,-1.134513631816367,-2.4844194276890286,35.83856934249069,12.532381264125412,26.0830313272331,10.143524409004407,18.298212809315075,1.3328682811371824,1.3585648212095798,2.2400863694246596,1.3221510026949992,-2.4844194276890286,33.35414991480167,45.88653117892708,71.96956250616017,82.11308691516459,100.41129972447966,101.74416800561684,103.10273282682643,105.34281919625109,106.66497019894608
3,250,0.041974835664206414,-1.1490382013438234,-8.867241215597186,-1.101953287061808,-1.1602782540417893,-1.1385626058599794,-1.1204305655382072,-1.1481401475516901,-1.1372237895365256,-1.1156654877391659,-1.1066269973566292,-5.77290645259318,44.54845814612213,19.366942772987358,18.9895144351511,9.054643015279517,14.137795338358039,3.129587330072261,4.23558605615559,2.7773236174292766,4.693284151866727,-5.77290645259318,38.77555169352895,58.14249446651631,77.1320089016674,86.18665191694691,100.32444725530496,103.45403458537722,107.6896206415328,110.46694425896207,115.16022841082881
3,500,0.041974835664206414,-1.1048842876947358,-1.1284757988227265,-1.1460598429942208,-1.1016769960203665,-1.116900563597063,-1.1407701389143652,-1.1057722837641761,-1.7824698754451485,-1.1224766677571827,-1.547902122422784,10.173237307386295,37.071055747499,7.401736656221681,16.335981104947443,13.65728218064234,8.460806813656383,9.299692341827482,1.3415306753417,1.3192524558644352,1.64896346332884,10.173237307386295,47.2442930548853,54.646029711106976,70.98201081605441,84.63929299669675,93.10009981035313,102.39979215218061,103.74132282752231,105.06057528338674,106.70953874671558
3,750,0.041974835664206414,-5.828963455260144,-1.176773580595333,-1.1072855382431315,-1.1362282881985963,-3.264309046069012,-1.1307837341390545,-3.3381914364335845,-2.860644114350509,-2.4475504977085603,-1.1037410728231531,13.002095106373718,12.492236182647682,18.599611916792696,18.600631772924807,26.692560503474738,11.363438885286325,6.126250596010597,1.3372813473548837,1.368361155833763,4.592897677911677,13.002095106373718,25.4943312890214,44.0939432058141,62.694574978738906,89.38713548221364,100.75057436749996,106.87682496351056,108.21410631086545,109.58246746669921,114.1753651446109
3,1000,0.041974835664206414,-1.1236740599808868,-1.1375973744027634,-1.1255303130021543,-1.1487456211094371,-21.044633903190686,-1.1362763963716347,-1.1402224407288575,-1.1351823440286735,-1.1296099301921392,-1.1306726265988503,6.4913455358470245,26.007729746230893,20.33736352737185,20.739791031293677,13.708978284335103,4.7876617046679275,2.8714852316030637,2.0353013162290123,2.1511986094226074,1.3500623528067948,6.4913455358470245,32.49907528207792,52.83643880944977,73.57622984074345,87.28520812507855,92.07286982974648,94.94435506134954,96.97965637757855,99.13085498700116,100.48091733980795
3,1500,0.041974835664206414,-1.1125615083411158,-1.112883023351511,-1.1104824815472472,-1.1130614049776977,-1.284262362622853,-18.117945241361703,-1.113202884722606,-1.1126341417010002,-1.1105784360628643,-1.1096260105326121,10.09933738291311,29.966695733551617,19.42659326458648,13.275585511998685,14.559603923128996,5.6269880578641285,2.820394755934183,3.7142224427125816,2.972736677589033,1.3345655758640458,10.09933738291311,40.06603311646472,59.4926263810512,72.76821189304988,87.32781581617888,92.95480387404301,95.7751986299772,99.48942107268978,102.4621577502788,103.79672332614285
3,2000,0.041974835664206414,-1.1136468932462131,-2.002445072063823,-1.1094854400833913,-1.1113004638195902,-1.121132781922571,-1.1200637667392659,-1.1064677628185917,-1.1078681913763058,-1.1151901023787625,-1.107407963452368,14.109172021819624,28.716070083526752,16.315171283446787,11.34435646268481,9.590217675037916,11.578795366337815,2.740739401601596,1.672973232302712,4.557778988002811,1.3289482023652885,14.109172021819624,42.825242105346376,59.140413388793164,70.48476985147798,80.0749875265159,91.65378289285371,94.39452229445531,96.06749552675802,100.62527451476083,101.95422271712611
3,3000,0.041974835664206414,-1.1174973595988096,-1.1120860488797928,-1.1180204974806323,-1.1370444167862583,-1.1115748530195781,-1.1266218323876678,-1.1300992869245792,-1.425195623769234,-2.8081432882573925,-1.5760867501397886,11.320553707952179,19.96233247216928,12.670838363144373,24.01992457856813,5.377826616289768,9.194912467802698,7.406221859378125,1.3428759866019297,2.61695087294357,7.135542643882861,11.320553707952179,31.28288618012146,43.953724543265835,67.97364912183397,73.35147573812374,82.54638820592643,89.95261006530455,91.29548605190648,93.91243692485006,101.04797956873291
3,4000,0.041974835664206414,-1.1018796652396783,-1.1017914843591745,-1.104467921008652,-1.2824373953728965,-1.1187945161976054,-1.1063874025775915,-1.1021017995146227,-1.1023512808434246,-1.0993683174191182,-1.1157018341787217,3.809569046125328,23.47105655058391,10.51816770582224,26.061195731847192,7.732601299676162,13.756956073750338,7.524816488063976,1.369059649030651,3.1750208541368954,4.486746845390579,3.809569046125328,27.28062559670924,37.79879330253148,63.85998903437867,71.59259033405483,85.34954640780518,92.87436289586915,94.2434225448998,97.41844339903669,101.90519024442727
3,6000,0.041974835664206414,-3.3587610637898813,-1.4491003792046886,-1.1091213270567133,-1.895634338344843,-1.4279708187657452,-2.5140917660463753,-1.1255114254327685,-1.1066382846339176,-7.526484292750773,-5.125980435032513,-5.583176473455005,34.29388927761812,15.059963510366046,24.596385984888045,13.002548841587867,12.789350306141642,6.142091496927996,1.3650752297669726,1.358320429406211,6.944337048566339,-5.583176473455005,28.710712804163116,43.77067631452916,68.3670622994172,81.36961114100507,94.15896144714671,100.30105294407471,101.66612817384168,103.02444860324789,109.96878565181423
3,8000,0.041974835664206414,-1.1060120088324457,-1.1010414644564035,-3.7507125765269578,-1.1004810729429133,-9.974027216206494,-21.923930422444514,-1.1066120459872661,-1.1081936478882901,-1.1060924248868123,-1.1082342550834419,6.881628408053128,20.417405941857275,15.631129612641338,20.633618519475313,14.356875110605678,5.090120315654907,5.763551881338403,3.5377692848668216,3.727920882633626,12.437900417852525,6.881628408053128,27.299034349910404,42.930163962551745,63.56378248202706,77.92065759263274,83.01077790828765,88.77432978962605,92.31209907449288,96.0400199571265,108.47792037497902
